,mid,name,type,in_code,from_irs,from_imls,from_tps,from_pgf,gross,rev,u_rate,closed,loc_code,pct_poverty,county_pop
0,8401900496,PIONEER HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,4.1,False,rural,15.8,7410.0
1,8401900566,DOUDS HISTORICAL PRESERVATION ASSOCIATION INC,HSC,0,1,0,0,0,0.0,0.0,4.1,False,rural,15.8,7410.0
2,8401900560,STATE ASSOCIATION FOR THE PRESERVATION OF IOWA CEMETERIES,HSC,0,1,0,0,0,0.0,0.0,4.1,True,rural,15.8,7410.0
3,8401900123,MILTON HERITAGE SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,4.1,False,rural,15.8,7410.0
4,8401900192,VAN BUREN COUNTY HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,4.1,False,rural,15.8,7410.0
5,8403901367,CASTALIA AREA HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
6,8403900469,FRIENDS OF SANDUSKY GREENHOUSE INC,BOT,0,1,0,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
7,8403900984,HEYMANN HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,5.0,False,rural,12.7,75876.0
8,8403901072,MUSEUM OF CAROUSEL ART & HISTORY,GMU,4,1,0,1,0,164134.0,145889.0,5.0,False,town,12.7,75876.0
9,8403900111,HURON HISTORICAL AND CULTURAL CENTER,HSC,0,0,0,1,0,0.0,0.0,5.0,False,town,12.7,75876.0
10,8403900110,INLAND SEAS MARITIME MUSEUM,GMU,0,0,0,1,0,0.0,0.0,5.0,False,suburban,12.7,75876.0
11,8403900919,FRIENDS OF HARBOUR TOWN  INC,HSC,3,1,0,1,0,73189.0,40459.0,5.0,False,suburban,12.7,75876.0
12,8403900186,EDISON BIRTHPLACE MUSEUM,GMU,0,0,0,1,0,0.0,0.0,5.0,False,town,12.7,75876.0
13,8403900021,T. A. EDISON BIRTHPLACE MUSEUM,GMU,0,0,1,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
14,8403900158,FOLLETT HOUSE MUSEUM,GMU,0,0,1,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
15,8403900296,VERMILLION-ON-THE-LAKE HISTORIC COMMUNITY CENTER CHARITABLE,HSC,3,1,0,0,0,96249.0,64349.0,5.0,False,suburban,12.7,75876.0
16,8403900302,THOMAS EDISON BIRTHPLACE MUSEUM,GMU,4,1,0,1,0,117627.0,112673.0,5.0,False,town,12.7,75876.0
17,8403900959,OLD HOUSE GUILD OF SANDUSKY OHIO,HSC,0,1,0,1,0,0.0,0.0,5.0,False,town,12.7,75876.0
18,8403900974,THE HURON HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
19,8403900971,KELLEYS ISLAND HISTORICAL ASSOCIATI ON INCORPORATED,HSC,3,1,0,0,0,38127.0,34454.0,5.0,False,rural,12.7,75876.0
20,8403901041,HERITAGE SOCIETY OF ERIE COUNTY,HSC,0,1,0,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
21,8403901095,SANDUSKY LIBRARY AND FOLLETT HOUSE MUSEUM FOUNDATION,HSC,3,0,0,0,1,73090.0,41565.0,5.0,False,town,12.7,75876.0
22,8403901118,SANDUSKY AREA MARITIME ASSOCIATION,HST,5,1,0,0,0,572555.0,218722.0,5.0,False,town,12.7,75876.0
23,8403901148,BROWNHELM HISTORICAL ASSOCIATION,HSC,1,1,0,0,0,6669.0,6669.0,5.0,False,suburban,12.7,75876.0
24,8403901244,MILAN HISTORICAL MUSEUM,HST,4,1,1,1,1,191011.0,188234.0,5.0,False,town,12.7,75876.0
25,8403901256,GREAT LAKES HISTORICAL SOCIETY,HSC,5,1,1,0,0,876956.0,637987.0,5.0,False,suburban,12.7,75876.0
26,8403901325,VERMILION NEWS PRINT SHOP MUSEUM,HST,0,1,0,0,0,0.0,0.0,5.0,False,suburban,12.7,75876.0
27,8403901378,FRIENDS OF SANDUSKYS UNDERGROUND RAILROAD EDUCATION CENTER,HSC,0,1,0,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
28,8403900046,SANDUSKY MARITIME MUSEUM,GMU,0,0,0,1,0,0.0,0.0,5.0,False,town,12.7,75876.0
29,8403900090,"MERRY-GO-ROUND MUSEUM, INC.",GMU,0,0,1,0,0,0.0,0.0,5.0,False,town,12.7,75876.0
30,8403901200,VERMILION AREA ARCHIVAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,5.0,False,suburban,12.7,75876.0
31,8405500351,WISCONSIN HISTORICAL FOUNDATION,HSC,7,0,0,1,1,5150257.0,5150257.0,3.0,False,city,11.2,516494.0
32,8405500831,AMERICAN TAPESTRY ALLIANCE,ART,3,1,0,0,0,84114.0,84114.0,3.0,False,rural,11.2,516494.0
33,8405500731,THE BOARD OF REGENTS OF THE UNIVERSITY,HSC,0,0,1,0,1,0.0,0.0,3.0,False,city,11.2,516494.0
34,8405500120,DISABILITY PHONES,GMU,0,0,0,1,0,0.0,0.0,3.0,True,suburban,11.2,516494.0
35,8405500394,SUN PRAIRIE HISTORICAL RESTORATIONS INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
36,8405500595,WISCONSIN LAW ENFORCEMENT MEMORIAL INC,HSC,0,1,0,0,0,0.0,0.0,3.0,True,city,11.2,516494.0
37,8405500162,MAZOMANIE HISTORIC ART CENTER,ART,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
38,8405500813,DEFOREST AREA HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
39,8405500608,ALDO LEOPOLD NATURE CENTER,BOT,6,0,1,0,0,1084303.0,1073643.0,3.0,False,suburban,11.2,516494.0
40,8405500277,BADGER HONER FLIGHT INC,HSC,4,1,0,0,0,463857.0,463857.0,3.0,False,town,11.2,516494.0
41,8405500656,CAMBRIDGE HISTORIC SCHOOL FOUNDATION INC,NAT,2,1,0,0,0,15208.0,15208.0,3.0,True,town,11.2,516494.0
42,8405500628,FRIENDS OF THE SUN PRAIRIE LIBRARY INC,GMU,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
43,8405500276,BLUE MOUNDS AREA HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
44,8405500226,MIDDLETON AREA HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
45,8405500184,RHAPSODY ARTS CENTER INC,GMU,4,1,0,1,0,370081.0,370081.0,3.0,False,suburban,11.2,516494.0
46,8405500654,MARSHALL AREA HISTORICAL SOCIETY INC,GMU,0,1,0,0,0,0.0,0.0,3.0,False,town,11.2,516494.0
47,8405500757,ALBION ACADEMY HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
48,8405500285,HARRISBURG-TROY HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
49,8405500653,WILDLIFE EXOTIC AND ZOO ANIMAL MEDICINE CLUB,ZAW,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
50,8405500232,MADISON TRUST FOR HISTORIC PRESERVATION INC,HSC,3,1,0,0,0,71994.0,67605.0,3.0,False,city,11.2,516494.0
51,8405500341,EDGEWOOD COLLEGE GALLERY,ART,9,0,1,0,0,91026460.0,63555810.0,3.0,False,city,11.2,516494.0
52,8405500299,NATIONAL MUSTARD MUSEUM INC,GMU,3,1,0,1,0,66653.0,66653.0,3.0,False,suburban,11.2,516494.0
53,8405500122,CHAZEN MUSEUM OF ART UNIVERSITY OF WISCONSIN - MADISON,GMU,0,0,1,0,0,0.0,0.0,3.0,True,city,11.2,516494.0
54,8405500221,HISTORIC BLOOMING GROVE HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
55,8405500017,UNIVERSITY OF WISCONSIN,GMU,0,0,1,0,0,0.0,0.0,3.0,True,city,11.2,516494.0
56,8405500012,WISCONSIN VETERANS MUSEUM,GMU,0,0,1,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
57,8405500064,MADISON ART CENTER,GMU,0,0,1,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
58,8405500067,MT HOREB MUSTARD MUSEUM,GMU,0,0,0,1,0,0.0,0.0,3.0,False,town,11.2,516494.0
59,8405500096,HELEN LOUISE ALLEN TEXTILE COLLECTION,GMU,0,0,1,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
60,8405500095,GEOLOGY MUSEUM,GMU,0,0,1,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
61,8405500130,CHAZEN MUSEUM OF ART,GMU,0,0,0,1,0,0.0,0.0,3.0,False,city,11.2,516494.0
62,8405500171,MADISON SPORTS HALL OF FAME INC,GMU,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
63,8405500193,ARBORETUM NEIGHBORHOOD ASSOCIATION,BOT,0,1,0,0,0,0.0,0.0,3.0,True,suburban,11.2,516494.0
64,8405500197,MCFARLAND HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
65,8405500218,CROSS PLAINS BERRY HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
66,8405500227,HISTORIC MADISON INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
67,8405500259,S GAUGE WISCONSIN,HSC,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
68,8405500282,WELLS RESEARCH LABORATORY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
69,8405500326,CLAN MACLAINE OF LOCHBUIE INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
70,8405500330,COTTAGE GROVE AREA HISTORICAL SOCIETY,HSC,0,1,0,1,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
71,8405500327,NATIONAL MIDGET AUTO RACING HALL OF FAME INC,GMU,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
72,8405500335,AMERICAN POULTRY HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
73,8405500376,DANE COUNTY HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
74,8405500441,MADISON CHILDRENS MUSEUM INC,CMU,6,1,1,1,1,2571497.0,2465783.0,3.0,False,city,11.2,516494.0
75,8405500525,WISCONSIN FOLK MUSEUM INC,GMU,0,1,0,1,0,0.0,0.0,3.0,False,town,11.2,516494.0
76,8405500567,BRADLEY-SIGMA HISTORICAL LANDMARK PRESERVATION FUND INC,HSC,0,1,0,0,0,0.0,0.0,3.0,True,city,11.2,516494.0
77,8405500599,FRANK LLOYD WRIGHT WISCONSIN HERITAGE TOURISM PROGRAM,HSC,4,0,0,0,1,327066.0,297907.0,3.0,True,city,11.2,516494.0
78,8405500597,MANDT COMMUNITY CENTER INC,GMU,4,1,0,1,0,239442.0,229429.0,3.0,True,suburban,11.2,516494.0
79,8405500602,BLACK EARTH HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,rural,11.2,516494.0
80,8405500663,CENTER FOR RAILROAD PHOTOGRAPHY AND ART INC,GMU,4,1,0,0,0,301344.0,301344.0,3.0,False,city,11.2,516494.0
81,8405500686,MADISON MUSEUM OF CONTEMPORARY ART FOUNDATION,ART,4,1,1,1,1,150543.0,150543.0,3.0,False,city,11.2,516494.0
82,8405500719,WARE FAMILY ASSOCIATION INC,NAT,0,1,0,0,0,0.0,0.0,3.0,True,suburban,11.2,516494.0
83,8405500736,FRIENDS OF THE STATE HISTORICAL SOCIETY OF WISCONSIN,HSC,3,1,0,0,0,40999.0,40999.0,3.0,False,suburban,11.2,516494.0
84,8405500771,FRIENDS OF THE GEOLOGY MUSEUM UNIVERSITY OF WISCONSIN MADISO,GMU,0,1,0,1,0,0.0,0.0,3.0,False,city,11.2,516494.0
85,8405500790,BTIM BIOTECH INDUSTRY MUSEUM INC,GMU,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
86,8405500817,MOUNT HOREB AREA HISTORICAL SOCIETY INC,HSC,4,1,0,0,0,211195.0,199720.0,3.0,False,town,11.2,516494.0
87,8405500837,MT HOREB LANDMARKS FOUNDATION INC,HSC,0,1,0,0,0,0.0,0.0,3.0,True,town,11.2,516494.0
88,8405500836,AMERICAN INSTITUTE OF PAKISTAN STUDIES,GMU,5,1,0,0,0,704739.0,704739.0,3.0,False,city,11.2,516494.0
89,8405500854,GOLDEN DAYS OF BURLESQUE HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
90,8405500868,FRIENDS OF HISTORIC THIRD LAKE RIDGE INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
91,8405500865,KOSHKONONG PRAIRIE HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,town,11.2,516494.0
92,8405500521,FITCHBURG HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
93,8405500532,OREGON AREA HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.0,False,town,11.2,516494.0
94,8405500746,HENRY VILAS PARK ZOOLOGICAL SOCIETY,ZAW,6,1,0,1,1,2896054.0,2475479.0,3.0,False,city,11.2,516494.0
95,8405500329,NORWEGIAN AMERICAN GENEALOGICAL CENTER INC,HSC,4,1,0,0,0,325327.0,294465.0,3.0,False,city,11.2,516494.0
96,8405500769,MAZOMANIE HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.0,False,town,11.2,516494.0
97,8405500464,STOUGHTON HISTORICAL SOCIETY,HST,0,1,0,1,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
98,8405500099,HELEN LOUISE ALLEN TEXTILE,GMU,0,0,0,1,0,0.0,0.0,3.0,True,city,11.2,516494.0
99,8405500199,SUN PRAIRIE HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.0,False,suburban,11.2,516494.0
100,8405500724,ARENA FIREFIGHTER MUSEUM INC,HST,0,1,0,0,0,0.0,0.0,3.0,False,city,11.2,516494.0
101,8405500356,BERGSTROM-MAHLER MUSEUM INC,ART,6,1,1,1,0,1208142.0,939973.0,3.8,False,city,11.3,169701.0
102,8405500587,WINCHESTER AREA HISTORICAL SOCIETY,HST,0,1,0,0,0,0.0,0.0,3.8,False,rural,11.3,169701.0
103,8405500725,YORK RITE LIBRARY AND MUSEUM INC,GMU,0,1,0,0,0,0.0,0.0,3.8,True,city,11.3,169701.0
104,8405500833,OSHKOSH PUBLIC MUSEUM AUXILIARY INC,GMU,1,1,1,1,0,2419.0,0.0,3.8,True,city,11.3,169701.0
105,8405500243,WINNECONNE HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,3.8,False,town,11.3,169701.0
106,8405500504,MENASHA HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,3.8,False,suburban,11.3,169701.0
107,8405500056,PAINE ART CENTER AND ARBORETUM,GMU,0,0,1,0,0,0.0,0.0,3.8,False,city,11.3,169701.0
108,8405500114,DOTY CABIN,GMU,0,0,1,0,0,0.0,0.0,3.8,False,city,11.3,169701.0
109,8405500138,ALGOMA BOULEVARD UNITED METHODIST,GMU,0,0,0,1,0,0.0,0.0,3.8,True,city,11.3,169701.0
110,8405500303,ARTSPACE COLLECTIVE INC,HSC,0,1,0,0,0,0.0,0.0,3.8,False,city,11.3,169701.0
111,8405500332,REPLICA FIGHTERS ASSOCIATION,SCI,0,1,0,0,0,0.0,0.0,3.8,False,city,11.3,169701.0
112,8405500340,PAINE ART CENTER & GARDENS INC,ART,5,1,0,1,0,3878508.0,2721533.0,3.8,False,city,11.3,169701.0
113,8405500363,EAA AVIATION FOUNDATION INC,HST,6,1,1,0,0,2159170.0,1908223.0,3.8,False,city,11.3,169701.0
114,8405500442,OSHKOSH ZOOLOGICAL SOCIETY INC,ZAW,0,1,0,0,0,0.0,0.0,3.8,False,city,11.3,169701.0
115,8405500550,WISCONSIN FEDERATION OF STAMP CLUBS INC,HSC,0,1,0,0,0,0.0,0.0,3.8,False,suburban,11.3,169701.0
116,8405500571,MILITARY VETERANS MUSEUM INC,GMU,4,1,0,0,0,169203.0,144195.0,3.8,False,city,11.3,169701.0
117,8405500687,FRIENDS OF ST THOMAS INC,HSC,0,1,0,0,0,0.0,0.0,3.8,False,town,11.3,169701.0
118,8405500743,NEENAH HISTORICAL SOCIETY,HSC,3,1,1,0,0,44335.0,44335.0,3.8,False,city,11.3,169701.0
119,8405500863,OMRO AREA HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,3.8,False,town,11.3,169701.0
120,8405500428,OSHKOSH PUBLIC LIBRARY,GMU,0,1,0,1,0,0.0,0.0,3.8,True,city,11.3,169701.0
